UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
18634419,3941311,07/14/2018,12:15,5d1f0497-fb66-4aff-bea1-6b613113d19d,GA,Station Wagon/Sport Utility Vehicle,HUMM -CAR/SUV,,2003,North,,,,,Going Straight Ahead,No Damage,No Damage,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Following Too Closely
14515205,3144939,12/30/2014,5:00,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Driver Inattention/Distraction,
12553383,2818089,11/03/2014,8:20,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Driver Inattention/Distraction,
19855252,4268746,01/04/2020,19:00,1b6b6133-28a6-4f8f-b461-b303f3f05f56,NY,Station Wagon/Sport Utility Vehicle,BMW -CAR/SUV,,2020,West,1,F,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified
10777353,118154,02/03/2013,22:30,2,NY,OTHER,,,,,,,,,,,,,,,,,Unspecified,
10165637,91809,01/24/2014,12:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17372141,3495818,08/07/2016,14:14,620888,NY,Sedan,TOYT -CAR/SUV,,2015,West,1,M,Licensed,NY,Stopped in Traffic,Right Side Doors,Right Side Doors,,,,N,,Other Vehicular,Unspecified
14731170,3234239,06/05/2015,11:45,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Parked,,,,,,,,Unspecified,
17505306,3641048,03/25/2017,16:15,774f364b-5286-4372-969f-4f5f91490aaf,NY,Sedan,NISS -CAR/SUV,,2008,East,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,Right Front Quarter Panel,No Damage,No Damage,No Damage,N,,Traffic Control Disregarded,Unspecified
19014234,4170889,07/15/2019,14:46,b78d30a7-4179-4d52-af81-c91b9a12d465,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2007,South,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,No Damage,No Damage,No Damage,,N,,Unspecified,Unspecified
18713095,4030220,11/21/2018,7:43,9dbb561f-9103-487f-9832-6d11bcfb7a97,NJ,Sedan,LEXS -CAR/SUV,,2017,North,1,M,Licensed,NJ,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified
17589258,3678424,05/26/2017,0:15,04ac75d8-eba2-4fa7-ab95-cff74836cf76,NY,Sedan,NISS -CAR/SUV,,2011,East,1,F,Permit,NY,Going Straight Ahead,Left Front Bumper,Left Front Quarter Panel,,,,N,,Passing Too Closely,Unspecified
11867792,175734,03/02/2014,10:25,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
14393812,295032,11/09/2012,13:45,1,DE,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Outside Car Distraction,
14986237,3357156,12/19/2015,16:00,1,NY,PASSENGER VEHICLE,,,,,,,,,Backing,,,,,,,,Driver Inattention/Distraction,
12960529,231086,07/17/2013,18:00,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17134373,3622606,02/26/2017,8:30,aec9c1d0-2eba-455b-a420-3cd59acee28f,MN,Station Wagon/Sport Utility Vehicle,VOLK -CAR/SUV,,2004,West,1,M,Licensed,MN,Going Straight Ahead,Right Front Quarter Panel,Right Front Quarter Panel,Right Front Bumper,No Damage,No Damage,N,,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction
12129322,2983164,09/28/2012,20:30,3,NY,LARGE COM VEH(6 OR MORE TIRES),,,,,,,,,,,,,,,,,Unspecified,
14732606,3234777,06/06/2015,9:35,2,NY,PASSENGER VEHICLE,,,,,,,,,Other*,,,,,,,,Driver Inattention/Distraction,
11051671,131286,12/21/2012,7:33,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17175447,3456120,06/01/2016,22:38,360086,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2014,West,1,M,,FL,Making Left Turn,Right Side Doors,Right Front Bumper,Right Front Quarter Panel,Right Side Doors,,N,,Unspecified,Unspecified
12459057,207222,09/22/2013,16:08,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Backing Unsafely,
17984296,3816882,12/26/2017,13:20,8b9bcef5-4d6b-450b-a535-043b473c9bfa,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2011,East,0,,,,Parked,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,N,,Unspecified,Unspecified
14742459,3238842,06/12/2015,9:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Making Left Turn,,,,,,,,Fatigued/Drowsy,
18525719,4059677,01/23/2019,14:10,74d226c1-5512-4cd7-8aa6-da2f331f42e9,,,,,,,,,,,,,,,,,Unspecified,,Driver Inattention/Distraction,
13857005,1028623,09/24/2014,8:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Slowing or Stopping,,,,,,,,Driver Inattention/Distraction,
18389886,4078485,02/09/2019,4:14,b24327db-8212-4641-801c-2077f80c9f5a,,,,,,,,,,,,,,,,,Unspecified,,,
17352030,3529269,09/28/2016,19:30,858683,NY,Sedan,HOND -CAR/SUV,,2015,South,1,F,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,N,,Unspecified,Unspecified
11265139,1027716,09/22/2014,10:50,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Fatigued/Drowsy,
18747991,4017019,11/08/2018,15:20,5aabb546-0243-4b85-9e37-bf2387829e0a,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2018,West,1,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,Right Rear Bumper,,,N,,Unspecified,Unspecified
19654096,4249358,11/25/2019,5:46,c0da26a9-eab5-41e4-9dd7-e568f8647410,NY,Station Wagon/Sport Utility Vehicle,SUBA -CAR/SUV,,2015,North,1,M,Licensed,NY,Making U Turn,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,Left Front Quarter Panel,,Unspecified,,Unspecified,Unspecified
13981592,274735,01/22/2013,14:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Failure to Yield Right-of-Way,
19120807,4214320,09/28/2019,15:30,0c3a32b8-fa6a-452b-ba4a-b535ef96eb65,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2005,South,2,F,Permit,NY,Making U Turn,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,Right Front Bumper,No Damage,N,,Turning Improperly,Unspecified
17309334,3464693,06/19/2016,16:45,420585,NJ,Station Wagon/Sport Utility Vehicle,CHRY -CAR/SUV,,2016,Southeast,2,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Following Too Closely
17816177,3885403,04/21/2018,17:28,99170bf8-9136-4efe-ae89-b5f7942ee306,NY,Station Wagon/Sport Utility Vehicle,CHRY -CAR/SUV,,2001,South,0,,,,Parked,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Front Bumper,Right Rear Bumper,,N,,Unspecified,Unspecified
13427830,254617,02/15/2014,13:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19154839,4236031,10/22/2019,9:40,f401aba9-fdbb-41fe-ba1d-438c2f6a12fc,IN,Pick-up Truck,FTL,,2019,West,1,M,Licensed,NJ,Going Straight Ahead,Right Front Bumper,No Damage,,,,N,,Other Vehicular,Unspecified
19756277,4348154,09/11/2020,22:37,e866e45e-8cab-4fb8-81ec-f00fbe4cd119,MD,Sedan,FORD -CAR/SUV,,2020,North,0,,,,Parked,Left Rear Quarter Panel,Left Rear Bumper,,,,N,,Unspecified,Unspecified
18771453,3964674,08/20/2018,0:00,18ed1923-7d89-4887-8d46-c876de7348c5,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2012,North,5,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,Right Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified
9501501,60141,10/27/2012,22:15,1,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
18758260,3983313,09/18/2018,16:11,e80a9c58-d566-4c63-8668-128f2b2af511,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2000,East,1,M,Licensed,NY,Slowing or Stopping,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Following Too Closely,Unspecified
17286829,3508252,08/26/2016,12:07,706752,IN,Box Truck,ISU-TRUCK/BUS,,2012,West,1,M,Licensed,NJ,Going Straight Ahead,Right Rear Bumper,Right Rear Bumper,,,,N,,Driver Inattention/Distraction,Passing or Lane Usage Improper
9507497,315557,04/05/2014,13:50,2,NY,OTHER,,,,,,,,,,,,,,,,,Unspecified,
17411096,3531347,09/30/2016,16:55,867460,NY,Station Wagon/Sport Utility Vehicle,LNDR -CAR/SUV,,2010,East,2,F,Licensed,NY,Going Straight Ahead,Center Front End,Left Front Bumper,Right Front Bumper,,,Unspecified,,Driver Inattention/Distraction,Driver Inexperience
19682940,4317641,05/02/2020,22:45,01dbde60-154b-45b0-a8d8-5f2add10856d,NY,Sedan,INFI -CAR/SUV,,2015,West,1,F,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Front Bumper,Right Front Quarter Panel,Right Rear Quarter Panel,Center Front End,N,,Unsafe Speed,Pavement Slippery
18708289,4026576,11/13/2018,18:00,42d422fc-a69d-418d-91ec-46583af35620,NY,Sedan,TOYT -CAR/SUV,,2017,East,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,Center Back End,Center Back End,N,,Unspecified,Unspecified
19578793,4306119,03/04/2020,20:23,70c19e00-7d59-4237-adfe-3dfa6d372937,NY,Sedan,NISS -CAR/SUV,,2018,North,1,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,,,,Unspecified,,Unspecified,Unspecified
19626419,3679884,05/26/2017,15:00,ab2e9bbe-f23c-4d0a-a560-eb5d82553755,NY,Taxi,TOYT -CAR/SUV,,2013,North,1,M,Licensed,NY,Changing Lanes,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,,Driver Inattention/Distraction,Driver Inattention/Distraction
14392421,294461,10/02/2012,12:20,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19064300,4194463,08/23/2019,17:30,d2b529be-6640-408c-a42b-6c8036bed2d5,NY,Sedan,NISS -CAR/SUV,,2018,East,4,F,Licensed,NY,Parked,Right Side Doors,Right Side Doors,Right Front Quarter Panel,,,N,,Passenger Distraction,Unspecified
11864167,173913,04/04/2013,18:55,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
13857576,2814307,10/26/2014,14:25,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
17475315,3689118,06/12/2017,7:54,0efb48cd-da1a-4530-8d81-2230dcc78e3f,NY,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2010,South,1,F,Licensed,NY,Merging,Left Front Bumper,Center Front End,Right Front Bumper,,,N,,Passing or Lane Usage Improper,Unspecified
8892907,353419,06/17/2014,17:00,2,NJ,SMALL COM VEH(4 TIRES),,,,,,,,,Backing,,,,,,,,Fell Asleep,
17625818,3722196,07/31/2017,17:25,6fa7eda1-9177-4da6-a1e2-4ae31226e8ec,NY,Sedan,NISS -CAR/SUV,,2017,South,0,,,,Parked,Right Front Quarter Panel,Right Side Doors,Right Rear Quarter Panel,No Damage,No Damage,N,,Unspecified,Unspecified
14586515,3173357,02/21/2015,14:44,2,MD,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Driver Inattention/Distraction,
19688644,4320160,06/05/2020,16:40,03218461-f3a1-47a9-b90d-8466ca923c7e,NY,Tractor Truck Diesel,,,,North,6,M,Licensed,,Making U Turn,No Damage,No Damage,No Damage,No Damage,Other,N,,Following Too Closely,Unspecified
9800321,75786,12/26/2013,9:40,1,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
20007463,4430813,06/19/2021,16:15,58b95181-56b4-4e59-94e6-fc7f17802c59,NY,Sedan,LEXS -CAR/SUV,,1998,West,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Following Too Closely,Driver Inattention/Distraction
12847442,225786,10/17/2013,11:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17994587,3815243,12/24/2017,14:30,27a9ba30-525f-4d3a-91c1-17cc3e7cb2ef,NY,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2004,South,1,F,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,,,N,,Passing Too Closely,Unspecified
13416192,249531,03/20/2013,20:37,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
17883173,3778814,10/28/2017,19:00,734effac-3a85-4163-b37b-4de1d12cb2fd,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2014,South,0,M,Licensed,NY,Going Straight Ahead,Center Back End,Right Rear Bumper,Left Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified
18651093,3935098,07/03/2018,12:56,54e78d8a-f6c7-4377-a55b-e8e792155b86,NY,Box Truck,VOLV -TRUCK/BUS,,2017,East,1,M,Licensed,NY,Making Right Turn,Right Front Bumper,Right Front Bumper,,,,N,,Oversized Vehicle,Unspecified
8995194,33841,01/10/2013,22:45,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19954506,4406273,03/29/2021,15:20,1a97c1f1-11d7-41be-95ba-f62227080765,NY,Station Wagon/Sport Utility Vehicle,LNDR -CAR/SUV,,2021,West,0,,,,Parked,Left Front Bumper,Left Side Doors,,,,N,,Unspecified,Unspecified
14946362,3337084,11/17/2015,16:15,1,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
18387658,4077142,02/08/2019,10:20,65980bad-1f43-4d0f-841e-ef005da26a8b,NY,Sedan,HOND -CAR/SUV,,2012,West,1,M,Licensed,NY,Stopped in Traffic,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,Right Front Bumper,N,,Unspecified,Unspecified
17236532,3505834,08/23/2016,17:00,694796,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2012,North,1,M,Licensed,NY,Making Right Turn,No Damage,No Damage,,,,N,,Driver Inattention/Distraction,Unspecified
14707252,3224119,05/20/2015,19:30,1,NY,PASSENGER VEHICLE,,,,,,,,,Changing Lanes,,,,,,,,Driver Inattention/Distraction,
17581511,3701010,06/28/2017,15:45,77a845b7-427a-43b5-b0fb-0a2ad972e07d,NY,Station Wagon/Sport Utility Vehicle,INFI -CAR/SUV,,2015,East,3,F,Licensed,NY,Slowing or Stopping,Center Front End,Center Front End,,,,N,,Following Too Closely,Unspecified
19007363,4167543,07/08/2019,7:56,f444df14-f208-49f0-90e7-65025aba04ec,NY,Bus,IVEC-TRUCK/BUS,,2019,South,5,F,Licensed,NY,Making Left Turn,Right Front Bumper,Right Front Bumper,,,,N,,Unspecified,Unspecified
14583799,3173464,02/22/2015,17:50,1,NY,LIVERY VEHICLE,,,,,,,,,Making Right Turn,,,,,,,,Failure to Yield Right-of-Way,
17881998,3889920,04/28/2018,20:55,b6ca8bf0-45f8-48eb-b910-62b00319ef27,NY,Sedan,NISS -CAR/SUV,,2013,West,0,,,,Parked,Right Rear Bumper,Right Rear Bumper,Right Rear Quarter Panel,Right Side Doors,,N,,Unspecified,Unspecified
9721337,72226,12/15/2013,14:15,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17922506,3778643,10/24/2017,12:32,cf635da2-69db-4c25-8ff0-a870e06b1b13,NJ,Box Truck,ISU-TRUCK/BUS,,2015,West,1,M,Licensed,CA,Going Straight Ahead,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Rear Bumper,Right Rear Bumper,Right Rear Quarter Panel,N,,Driver Inattention/Distraction,Passing or Lane Usage Improper
17638842,3730417,08/13/2017,18:10,4443ca2c-c748-4312-b0ea-9e285609cda0,,Bike,,,,North,1,M,,,Going Straight Ahead,Right Side Doors,Right Side Doors,,,,N,,Unspecified,Unspecified
19613584,4254867,12/05/2019,7:05,981a98a9-1073-46e3-8f16-35155fd89446,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2013,South,1,M,Licensed,NY,Changing Lanes,Right Front Bumper,Left Rear Bumper,Left Rear Quarter Panel,,,Y,,Unsafe Lane Changing,Unsafe Speed
17808272,3905616,05/21/2018,10:20,160dbb4a-683e-478e-90e2-05ce4b6dab17,NY,Sedan,NISS -CAR/SUV,,2008,West,1,M,Licensed,NY,Slowing or Stopping,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,,,N,,Unspecified,Unspecified
19009863,4168816,07/12/2019,11:00,967ab616-d589-4756-9204-52e6dfc28d8a,NY,Sedan,SUBA -CAR/SUV,,2014,Northwest,1,F,Licensed,NY,Parked,Left Front Quarter Panel,Left Side Doors,Left Side Doors,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
17095165,3606381,01/25/2017,18:00,12fb8a5b-ba12-41b5-bef2-844e673d42cc,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2013,South,4,F,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,,,,N,,Passing Too Closely,Unspecified
9121843,40986,04/18/2013,19:45,2,NY,LIVERY VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
14094639,284444,02/15/2014,15:00,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
18813112,3958685,08/09/2018,11:40,51b344f9-edee-4629-a197-f96be6457ab3,NY,Sedan,TOYT -CAR/SUV,,2008,West,1,M,Licensed,NY,Changing Lanes,Left Front Bumper,Left Front Quarter Panel,Left Front Bumper,,,N,,Unsafe Lane Changing,Unspecified
17239628,3555401,11/05/2016,18:50,1034978,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2015,West,3,F,Licensed,NY,Going Straight Ahead,Center Back End,Right Rear Bumper,Left Rear Bumper,,,N,,Unspecified,Unspecified
17768587,3895891,05/07/2018,6:45,cceb5123-f3d6-4b5a-9ab3-bf6effae2951,NJ,Sedan,MAZD -CAR/SUV,,2007,North,1,M,Licensed,NJ,Slowing or Stopping,Center Back End,Center Back End,Left Rear Bumper,Center Front End,,N,,Unspecified,Unspecified
13417807,3056295,05/10/2013,16:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
8791461,320022,04/14/2014,8:27,1,NY,VAN,,,,,,,,,,,,,,,,,Unspecified,
14831575,3279662,08/17/2015,19:00,2,NY,PASSENGER VEHICLE,,,,,,,,,Entering Parked Position,,,,,,,,Unspecified,
16983556,3425893,04/15/2016,16:35,141782,NY,4 dr sedan,MERZ -CAR/SUV,,2003,Northeast,2,M,Unlicensed,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Driver Inexperience,Driver Inattention/Distraction
18818413,4030069,11/16/2018,23:50,22ade1d2-c345-485c-bf5a-10bcf008c69c,NY,Sedan,NISS -CAR/SUV,,2015,North,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Center Front End,,,N,,Unspecified,Unspecified
19771510,4357219,10/12/2020,17:08,10967caf-abd9-472b-bfdf-3688a0cdd9db,NY,Sedan,HOND -CAR/SUV,,2007,South,4,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Right Front Bumper,Left Front Bumper,Center Back End,N,,Pavement Slippery,Unspecified
19007936,4167303,07/09/2019,20:45,26ec6cc9-b931-4476-85a9-283a55fd4f4e,NY,Sedan,DODG -CAR/SUV,,2016,Northwest,2,M,Licensed,NY,Changing Lanes,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Rear Bumper,,,N,,Unspecified,Unspecified
18940456,4136353,05/21/2019,13:55,e7d61ed3-c56c-44bb-89a3-fd0f096840cc,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2013,West,1,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Unspecified,Unspecified
11870036,1030326,09/27/2014,21:20,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
17820485,3889013,04/26/2018,18:15,7779dd28-dc7d-4723-b692-123024009782,NY,Sedan,NISS -CAR/SUV,,2008,South,2,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,,Unspecified,,Unspecified,Unspecified
19831904,4384790,01/17/2021,21:38,f7929463-4c54-4cd1-8d51-d082c0d861d3,,Bike,,,,North,1,M,Unlicensed,,Going Straight Ahead,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
13857702,2817580,11/02/2014,13:30,2,NY,PASSENGER VEHICLE,,,,,,,,,Slowing or Stopping,,,,,,,,Unspecified,
17136522,3624836,03/02/2017,10:15,3176ffc1-76c3-4927-802f-e971572a4aac,PA,Tractor Truck Diesel,,,2006,East,1,M,Licensed,NJ,Changing Lanes,Right Side Doors,Right Side Doors,Right Rear Quarter Panel,,,N,,Unsafe Lane Changing,View Obstructed/Limited
8619321,339194,05/22/2014,20:15,2,NY,TAXI,,,,,,,,,Other*,,,,,,,,Driver Inattention/Distraction,
