ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
145,43940,ROCKAWAY AVENUE,MAC DOUGAL STREET,SUMPTER STREET,NB,10/06/2015,71,56,36,23,38,89,209,291,260,206,200,181,165,179,224,208,191,173,201,181,162,119,99,70
69,70395,EAST 156 STREET,ST ANNS PLACE,EAGLE AVENUE,WB,10/16/2015,61,42,26,26,26,53,129,442,435,250,207,225,267,345,380,425,427,444,352,260,229,183,192,124
315,28612,Rogers Avenue,Lenox Road,Linden Boulevard,NB,10/11/2019,303,206,172,142,272,658,962,1016,860,821,691,676,656,731,734,901,877,773,848,1075,932,833,800,659
179,110941,Lafayette Street,Spring Street,Prince Street,NB,10/04/2014,558,623,589,453,256,182,201,227,339,446,508,509,564,559,525,587,602,612,666,589,634,619,598,552
218,25210,McDonald Avenue,Avenue S,Avenue T,SB,11/17/2014,73,42,24,31,28,55,142,393,509,399,305,360,341,324,360,384,501,371,382,240,198,133,110,65
341,228790,Kings Highway,Avenue J,Avenue I,NB,04/07/2018,113,84,59,54,60,75,117,220,254,291,318,327,315,340,343,386,407,377,310,244,256,192,211,177
234,158778,Park Avenue,East 99 Street,East 100 Street,NB,09/25/2014,68,20,28,13,47,108,467,499,519,337,311,337,334,336,480,352,339,309,350,265,163,163,152,136
36,78940,East 174 Street,Vyse Avenue,Hoe Avenue,WB,11/23/2014,120,75,59,55,58,47,48,61,82,135,155,179,187,222,253,233,235,231,227,223,182,114,117,96
56,28612,Rogers Avenue,Lenox Road,Linden Boulevard,NB,11/12/2017,474,356,259,249,297,243,331,477,556,679,836,716,743,741,843,863,856,879,774,733,616,572,501,403
117,9009764,East 169 Street,Tinton Avenue,Union Avenue,NB,10/03/2014,104,88,68,85,75,95,207,328,361,344,297,328,328,340,378,378,405,409,402,385,332,304,261,242
53,21115,5 Avenue,30 Street,31 Street,SB,10/12/2019,172,104,71,57,54,57,61,103,168,232,251,289,292,321,339,276,331,309,257,228,187,190,211,232
103,75335,Corona Avenue,92 Street,93 Street,EB,10/16/2014,105,62,46,50,71,93,181,347,367,342,336,307,332,332,391,425,445,414,353,329,266,216,169,145
124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,09/13/2014,421,219,176,108,171,136,246,493,563,775,848,1029,1243,1215,1242,1256,1239,1139,974,1047,806,378,303,302
349,121069,Crotona Avenue,Claremont Parkway,Crotona Avenue North,SB,04/11/2018,59,33,25,21,25,64,191,539,441,365,288,293,298,305,373,363,386,379,306,255,194,155,107,76
9,36837,21 Street,46 Avenue,45 Road,SB,11/18/2014,211,129,84,80,97,192,337,560,530,559,527,498,438,507,512,609,600,649,502,415,369,346,301,261
252,9007754,Columbus Avenue,West 100 Street,West 101 Street,SB,10/10/2017,330,216,169,133,165,291,659,955,987,827,684,816,712,687,742,715,811,907,885,752,681,642,524,449
11,176290,EAST 188 STREET,GRAND CONCOURSE,VALENTINE AVENUE,EB,10/31/2015,302,290,281,188,209,189,182,224,274,403,492,491,485,552,575,550,696,576,437,511,478,566,432,415
13,153067,34 Avenue,92 Street,93 Street,WB,10/14/2014,85,60,33,38,77,72,147,250,318,258,259,300,286,358,368,420,510,523,420,411,304,262,172,132
363,144881,Grand Concourse Service Road,Hawkstone Street,Mount Eden Avenue,SB,04/08/2018,199,177,149,133,88,97,86,84,118,143,163,227,221,220,264,303,257,272,281,237,197,215,160,159
258,70015,134 Street,St. Anns Place,Bruckner Boulevard,EB,10/05/2014,120,98,89,83,71,78,102,87,149,168,177,190,206,251,264,228,220,254,189,221,188,215,164,115
221,37189,Central Park West,74 Street,75 Street,NB,10/13/2017,373,215,130,115,92,152,249,535,645,653,720,791,818,825,936,1029,1064,1074,1040,880,750,643,613,570
295,65633,Cross Island Parkway,114 Terrace,115 Avenue,SB,11/13/2017,144,90,54,39,22,40,134,450,871,934,404,280,296,303,326,453,462,560,677,641,454,329,315,197
351,41813,Albany Avenue,Farragut Road,Glenwood Road,NB,04/13/2018,5,0,1,2,0,19,104,249,210,153,107,103,120,139,197,232,227,303,237,203,152,123,64,50
85,30797,Driggs Avenue,Fillmore Place,North 1 Street,SB,10/16/2014,352,216,140,84,55,56,109,224,396,425,373,329,359,391,439,485,477,496,516,441,393,448,312,338
166,132490,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,SB,09/13/2014,636,417,231,182,148,132,246,524,822,1154,1339,1667,1657,1616,1641,1737,1919,1991,1635,1341,1273,1183,1184,1375
95,32361,BROOME STREET,CROSBY STREET,BROADWAY,WB,11/14/2016,337,233,220,235,369,665,747,792,843,801,787,815,659,648,823,724,570,506,550,621,650,581,612,507
157,148407,Seagirt Boulevard,Beach 7 Street,Beach 9 Street,EB,10/29/2017,171,82,76,68,68,99,186,334,434,496,474,453,567,533,510,491,401,371,314,292,220,211,186,158
60,28370,Flatbush Avenue,Clarkson Avenue,Lenox Road,SB,11/15/2017,272,177,120,96,104,154,293,442,581,474,455,488,503,607,573,654,709,745,582,609,571,448,405,411
144,240867,FDR Drive,Pike Slip,Rutgers Slip,NB,10/09/2014,689,344,161,131,215,715,3133,3643,3315,3232,2516,2675,2825,2929,3340,3243,3112,3193,2882,2734,2667,2480,2098,969
321,56804,Van Wyck Boulevard West,Lloyd Road,Liberty Avenue,SB,10/01/2014,463,260,164,211,266,337,597,988,903,867,879,816,1005,966,981,1139,1183,1109,1099,1124,976,857,575,540
223,36579,2 Avenue,East 73 Street,East 74 Street,SB,10/07/2017,1317,1097,942,809,606,567,675,837,964,1002,1056,1048,1097,1036,1124,1193,1187,1109,1170,1240,1251,1139,1191,1116
187,49572,Jamaica Avenue,Hemlock Street,Autumn Avenue,SB,11/10/2017,101,78,38,56,70,110,347,555,479,329,266,213,298,348,513,514,491,454,428,423,336,288,205,201
43,21327,39 Street,12 Avenue,13 Avenue,WB,09/29/2019,56,27,26,23,15,26,28,64,92,119,134,164,130,166,130,181,161,156,151,120,113,88,83,60
121,49507,73 PLACE,COOPER AVENUE,CENTRAL AVENUE,SB,10/09/2016,42,29,22,24,14,15,19,28,61,86,107,117,135,138,151,146,146,139,147,151,111,100,55,49
53,20147,Bay Ridge Avenue,19 Avenue,20 Avenue,EB,11/17/2014,32,20,7,7,10,15,38,99,121,95,91,93,110,125,120,112,130,179,179,84,83,82,71,39
363,229411,West Street,Tribeca Bridge,Dead end,NB,10/12/2019,699,440,323,253,238,395,700,916,1272,1471,1750,1903,1984,1907,2008,2041,1935,1933,2009,1881,1739,1587,1468,1109
368,43934,Rockaway Avenue,Marion Street,Sumpter Street,NB,10/27/2014,51,41,23,26,32,77,181,307,265,229,198,218,201,238,212,225,269,273,192,184,147,127,97,61
273,150039,164 Street,65 Avenue,67 Avenue,SB,10/10/2017,50,42,25,24,37,122,286,612,564,448,381,387,412,421,576,618,602,611,580,469,330,273,195,130
187,49572,Jamaica Avenue,Hemlock Street,Autumn Avenue,NB,11/09/2017,90,59,31,43,43,81,147,220,330,257,229,291,280,301,371,463,467,581,535,402,310,240,170,151
289,12829,VICTORY BOULEVARD,CYPRESS AVENUE,MARX STREET,WB,10/13/2015,69,33,24,19,27,71,171,351,413,345,382,440,423,452,457,575,598,616,569,369,281,212,151,130
149,34257,Central Park West,8 Avenue Line,8 Avenue Line,NB,10/07/2019,149,104,75,54,81,152,310,499,502,511,517,531,507,518,515,481,591,558,496,526,457,425,388,264
137,88880,Bronx Boulevard,Bronx River Greenway,Dead End,NB,11/08/2019,82,66,45,28,45,59,161,343,389,293,240,264,263,264,391,426,424,384,458,348,317,222,241,240
56,22924,ATLANTIC AVENUE,3 AVENUE,4 AVENUE,EB,10/07/2016,637,362,214,176,166,241,466,688,690,677,673,774,779,633,666,804,617,700,810,822,824,849,804,855
48,67971,48ST STREET,Northern Boulevard,37th Ave,NB,11/16/2019,53,36,24,27,27,28,57,67,126,160,217,257,275,293,294,290,211,219,208,177,186,150,96,96
113,97525,35 AVENUE,203 STREET,204 STREET,WB,10/07/2016,68,36,30,12,21,56,184,565,462,362,376,365,464,406,541,548,482,541,620,532,426,299,194,188
233,67868,Northern Boulevard,35 Avenue,45 Street,WB,10/08/2014,210,182,129,186,305,866,1558,1781,1585,1250,1062,1056,928,959,1025,1012,991,1055,872,737,626,531,442,298
216,19874,New Utrecht Avenue,71 Street,72 Street,SB,09/09/2017,107,68,80,54,63,53,48,117,157,218,271,302,326,289,256,278,309,309,276,227,212,167,166,142
34,19805,60 STREET,11 AVENUE,12 AVENUE,EB,10/19/2016,84,59,40,35,39,65,139,243,279,263,187,291,282,252,244,235,201,296,339,315,196,187,161,144
218,25210,McDonald Avenue,Avenue S,Avenue T,NB,11/17/2014,56,34,17,25,23,64,128,403,563,384,325,305,321,295,344,359,541,421,345,254,164,124,104,59
209,60010,SUTPHIN BOULEVARD,ARLINGTON TERRACE,109 AVENUE,SB,11/15/2015,197,206,113,148,86,121,138,134,134,218,187,255,360,571,553,425,256,486,459,418,370,178,149,94
293,28262,Ocean Avenue,Crooke Avenue,Caton Avenue,NB,10/09/2019,98,56,49,45,88,235,417,465,417,466,403,367,412,378,399,361,352,348,344,318,283,280,213,166
310,9661,POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,WB,09/17/2015,62,22,22,57,48,83,159,416,401,268,258,281,303,290,443,436,493,486,414,318,228,162,142,100
351,41813,Albany Avenue,Farragut Road,Glenwood Road,NB,04/15/2018,34,9,10,7,7,4,12,45,64,133,155,147,173,168,234,155,171,164,132,113,90,68,37,13
93,102582,Cross Island Parkway SR,87 Avenue,88 Avenue,NB,09/30/2014,13,7,2,6,5,14,47,184,232,70,72,74,65,62,207,116,97,148,316,363,83,51,23,11
45,19437,BAY RIDGE PARKWAY,11 AVENUE,12 AVENUE,WB,10/17/2016,84,49,31,32,48,137,306,609,596,547,404,476,444,453,539,517,509,558,489,392,353,230,189,124
25,37480,86 Street Transverse,5 Avenue,East Drive,EB,09/28/2014,396,263,173,131,77,77,107,160,226,365,475,530,524,539,593,636,662,648,681,529,491,443,324,223
168,77424,EAST 163 STREET,ROGERS PLACE,INTERVALE AVENUE,WB,10/16/2016,182,165,143,105,107,69,84,149,141,224,252,327,321,336,344,374,379,317,272,318,310,202,169,150
46,9003667,Astor Avenue,Wallace Avenue,Barnes Avenue,EB,11/02/2014,78,77,53,31,22,20,34,27,53,61,90,94,116,127,126,81,124,142,133,132,125,94,73,73
371,37916,3 Avenue,East 99 Street,East 100 Street,NB,10/16/2019,297,155,162,119,147,254,455,496,390,305,261,292,330,284,405,577,468,466,259,352,367,330,285,254
356,88159,NEILL AVENUE,TENBROECK AVENUE,NARRAGANSETT AVENUE,WB,03/27/2016,2,3,2,4,0,2,2,15,20,6,11,14,24,17,16,20,21,16,15,12,14,6,9,2
262,100527,SPRINGFIELD BOULEVARD,89 AVENUE,90 AVENUE,SB,11/01/2015,88,84,35,28,34,28,45,93,161,157,214,242,226,257,258,238,247,264,196,177,140,124,84,77
125,19555,FT HAMILTON PARKWAY,67 STREET,68 STREET,WB,11/17/2015,138,57,40,29,41,75,191,431,443,483,431,465,426,461,453,494,539,585,526,466,401,308,279,230
8,109816,10 Avenue,67 Street,68 Street,SB,10/14/2019,28,18,12,6,7,20,67,195,123,140,168,147,142,172,228,264,281,294,275,175,116,70,51,48
125,156973,11 STREET,47 AVENUE,47 ROAD,SB,10/04/2016,87,54,31,41,57,131,275,401,431,342,360,343,380,373,446,647,584,560,399,303,220,190,178,134
147,155338,HYLAN BOULEVARD,ALLISON AVENUE,PRINCETON AVENUE,SB,10/09/2016,402,235,142,103,82,84,133,228,347,480,608,740,894,932,947,909,887,849,827,790,678,538,438,343
346,68193,57 STREET,WOODSIDE AVENUE,ROOSEVELT AVENUE,NB,10/07/2015,19,12,8,6,8,25,32,153,126,77,72,72,68,85,118,108,114,133,104,77,63,46,28,19
72,36705,Vernon Boulevard,46 Road,47 Avenue,NB,09/16/2017,161,149,76,80,67,109,123,153,147,209,268,389,322,314,307,306,260,323,336,342,304,295,221,212
233,72608,Broadway,Dyckman Street,Cumming Street,WB,10/29/2017,526,388,338,272,293,199,199,201,244,304,327,408,454,519,545,530,506,480,441,375,377,308,309,253
361,26809,Ocean Parkway,Lawrence Avenue,Parkville Avenue,SB,10/21/2014,18,19,8,4,15,35,93,118,112,105,98,111,108,145,121,98,268,232,247,161,69,67,44,42
220,36803,York Avenue,East 74 Street,East 75 Street,SB,10/02/2017,125,79,54,59,81,139,337,452,784,692,670,592,683,621,615,492,677,638,593,575,456,427,363,257
212,47443,Fulton Street,Georgia Avenue,Jamaica Line,EB,10/17/2019,133,93,85,67,72,127,240,240,289,260,282,277,301,387,413,452,509,614,534,438,291,257,228,209
266,97387,Underhill Avenue,189 Street,190 Street,EB,11/06/2017,6,0,1,1,1,2,7,66,82,47,34,23,31,34,57,55,84,80,64,54,36,31,13,10
102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/14/2014,90,88,66,46,44,34,35,53,66,87,106,143,144,155,199,184,186,195,196,201,167,167,131,72
54,19984,Bay Ridge Parkway,19 Avenue,20 Avenue,EB,10/04/2014,162,105,86,54,55,58,95,170,269,363,411,414,417,484,453,449,456,466,434,486,351,314,289,250
314,160467,CLOVE ROAD,NARROWS ROAD NORTH,STATEN ISLAND EXPRESSWAY,SB,10/12/2015,168,94,57,54,99,204,455,595,612,596,597,601,659,643,730,746,783,756,641,588,445,384,318,245
24,175385,82 Street,Northern Boulevard,34 Avenue,SB,10/12/2014,212,185,136,98,129,77,66,88,119,220,264,263,301,287,342,354,272,338,328,318,249,252,203,170
346,31907,Varick Street,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,10/09/2019,1344,1127,794,673,537,482,344,433,477,618,776,838,790,979,1375,1162,872,1096,1206,1373,1387,1452,1494,1424
273,135507,Rockaway Boulevard,Brookville Boulevard,Brookville Boulevard,NB,10/03/2014,448,273,237,249,515,1023,2165,2273,2065,1816,1761,1834,2027,2127,2081,2188,2123,2042,1775,1572,1395,1117,843,710
10,146496,EAST BURNSIDE AVENUE,ANTHONY AVENUE,GRAND CONCOURSE,EB,10/31/2015,131,105,95,81,103,63,92,137,171,154,195,221,201,228,258,254,265,236,201,222,178,187,145,126
14,9001821,ST ANNS AVENUE,RAE STREET,EAST 156 STREET,SB,10/12/2016,42,24,15,17,27,28,65,117,127,123,109,148,138,141,137,174,155,169,139,101,102,54,76,38
357,34178,West 42 Street,42 Street Shuttle Line,42 Street Shuttle Line,WB,10/10/2019,334,209,165,174,163,282,392,455,518,544,504,557,550,513,521,532,503,472,503,448,497,488,478,394
123,64584,MURDOCK AVENUE,199 STREET,200 STREET,EB,10/29/2016,94,70,40,45,36,52,76,110,187,213,224,236,274,289,284,288,287,287,234,243,168,165,167,125
140,8070,ROCKLAND AVENUE,MANOR ROAD,BRIELLE AVENUE,NB,10/13/2016,42,23,18,29,38,114,284,575,524,426,351,454,455,470,491,493,578,507,528,450,325,212,154,88
70,94639,Bruckner Expressway,Sands Place,Arnow Place,NB,11/08/2014,81,46,36,32,34,49,88,146,208,316,852,515,785,521,845,1077,1186,1167,951,614,143,126,151,98
85,56878,Archer Ave,143 St,144 Pl,EB,10/10/2019,108,50,62,37,44,140,139,139,223,258,163,183,145,192,168,172,175,169,168,182,188,229,203,148
64,28997,Prospect Park West,2 Street,3 Street,SB,11/19/2017,374,236,191,149,119,88,180,325,351,453,506,546,674,703,750,836,819,792,782,680,553,420,381,301
278,130067,65 Place,53 Drive,53 Avenue,NB,10/05/2017,69,47,28,18,31,58,124,275,265,175,196,191,199,251,313,341,341,394,345,279,198,187,156,95
142,9003959,Burke Avenue,Yates Avenue,Dead End,EB,11/10/2019,59,59,33,26,29,29,35,57,60,96,120,153,113,126,171,195,152,164,110,103,97,73,65,51
324,33018,5 AVENUE,WEST 25 STREET,EAST 26 STREET,SB,10/28/2015,1034,612,444,278,264,398,787,1191,1301,1235,816,1083,1098,1017,1088,1065,824,965,1406,1541,1563,1426,1321,1263
100,194371,CLEARVIEW EXPRESSWAY,39 AVENUE,BOYCE AVENUE,NB,11/13/2016,21,13,15,8,4,6,15,29,65,93,100,139,148,158,156,132,132,145,105,93,86,46,24,31
212,47443,Fulton Street,Georgia Avenue,Jamaica Line,EB,10/20/2019,206,147,145,119,117,93,129,105,152,178,237,249,240,286,346,329,312,270,292,268,239,196,174,199
93,34607,Avenue C,East 11 Street,East 12 Street,NB,10/08/2019,92,62,42,43,48,106,160,113,121,90,119,127,125,210,195,136,76,120,162,121,142,129,97,90
156,28845,Church Avenue,Brooklyn Avenue,East 37 Street,EB,10/09/2019,150,113,67,65,99,174,266,434,452,430,347,309,274,336,362,366,368,396,383,379,319,244,208,221
333,178549,Stillwell Avenue,Rhinelander Avenue,Pelham Parkway South,NB,11/10/2019,94,51,26,16,21,36,65,107,149,180,240,256,299,240,242,273,277,226,166,215,117,131,78,86
297,167682,Stewart Avenue,Metropolitan Avenue,Grand Street,NB,10/13/2014,18,9,11,23,39,56,86,103,83,96,157,141,139,148,168,154,113,106,86,46,33,35,32,38
153,19559,Ft. Hamilton Parkway,66 Street,67 Street,NB,10/04/2014,106,78,55,46,46,76,167,257,345,419,417,483,498,487,450,436,397,402,444,358,304,238,237,214
235,52940,Jamaica Avenue,101 Street,102 Street,EB,09/21/2019,77,62,55,54,45,46,55,70,129,175,186,220,240,209,217,238,251,223,180,200,173,156,138,128
100,174179,Dr. M L King Jr. Boulevard,Ogden Avenue,Edward L Grant Highway,NB,09/25/2014,127,127,21,65,111,53,141,253,292,301,258,249,295,287,354,465,441,526,490,372,271,251,251,224
284,237320,Shore Road,Orchard Beach Road,Roosevelt Avenue,NB,09/28/2014,103,56,37,21,21,30,50,73,143,163,221,371,450,487,483,480,499,401,316,238,187,129,89,55
234,158778,Park Avenue,East 99 Street,East 100 Street,NB,09/24/2014,62,29,42,33,70,124,558,627,597,568,479,430,383,396,395,366,387,386,507,282,179,142,153,109
311,9788,FOREST AVENUE,RAYMOND PLACE,MANOR ROAD,EB,09/15/2015,89,58,38,22,52,115,382,453,517,427,506,522,512,558,599,576,497,561,552,516,443,307,206,128
228,75343,58 STREET,41 DRIVE,43 AVENUE,NB,10/14/2015,52,30,20,15,33,43,97,181,189,189,189,208,189,195,225,243,274,304,311,229,154,118,72,84
92,32807,East 14 Street,4 Avenue,Broadway,EB,11/03/2017,473,433,337,294,200,203,235,408,406,465,470,543,508,502,523,473,519,534,499,621,486,559,483,492
299,43037,Throop Avenue,Halsey Street,Macon Street,NB,10/29/2014,96,50,46,31,33,78,192,473,418,353,251,300,307,360,350,336,376,327,306,277,230,171,160,128
122,149977,Eastern Parkway,Troy Avenue,Albany Avenue,WB,10/16/2014,27,12,16,10,14,16,29,46,53,52,44,37,52,62,108,50,101,109,67,80,36,48,28,27
241,97521,35 AVENUE,203 STREET,202 STREET,WB,11/10/2015,48,20,32,9,34,47,209,435,455,368,307,311,333,324,399,423,416,464,462,441,329,183,148,101
26,22806,3 AVENUE,BALTIC STREET,BUTLER STREET,SB,10/10/2016,70,42,31,32,39,47,85,112,130,156,155,208,216,256,237,294,288,301,323,269,246,163,193,140
244,98540,SPRINGFIELD BOULEVARD,46 AVENUE,NORTHERN BOULEVARD,NB,11/12/2015,19,9,5,6,6,18,82,173,215,160,140,128,153,133,212,178,173,146,137,105,106,76,48,15
277,2984,KOREAN WAR VETS PARKWAY SR,HEENAN AVENUE,ALBEE AVENUE,SB,10/29/2015,16,9,4,3,10,13,55,128,173,90,124,121,112,131,199,204,173,198,171,116,93,65,46,17
315,36009,West 56 Street,5 Avenue,6 Avenue,EB,11/12/2017,332,229,137,106,86,76,117,160,207,244,309,347,341,340,338,374,354,339,326,324,327,289,228,189
60,36674,1 AVENUE,EAST 73 STREET,EAST 74 STREET,NB,11/14/2016,512,337,275,281,476,820,1475,1678,1596,1344,1228,1191,1199,1218,1611,1667,1559,1662,1888,1639,1420,1203,1070,973
153,19559,Ft. Hamilton Parkway,66 Street,67 Street,SB,10/04/2014,168,77,73,47,56,66,83,164,257,367,412,404,459,496,450,447,458,409,443,412,328,331,326,277
110,15540,Beach St,Union Pl,Van Duzer St,WB,09/29/2019,70,40,32,33,26,23,30,51,72,113,119,182,162,157,144,135,158,149,134,147,98,88,75,65
54,142566,HUTCHINSON RIVER PARKWAY,ST THERESA AVENUE,LAURIE AVENUE,NB,09/14/2015,1746,1593,1166,750,330,189,131,203,569,1475,2787,3251,2574,2099,2076,2008,2220,2435,2721,2863,3043,2869,2611,2089
92,29548,FRANKLIN AVENUE,DEAN STREET,BERGEN STREET,SB,09/13/2015,472,391,304,244,206,143,124,150,198,261,345,382,448,482,494,504,553,461,513,498,527,470,381,332
11,112817,111 Avenue,140 Street,141 Street,EB,10/11/2019,65,52,43,35,31,50,57,121,100,85,104,88,93,67,88,75,94,102,97,130,97,99,156,95
53,28067,Ditmas Avenue,Argyle Road,Rugby Road,EB,09/29/2017,88,55,45,38,46,46,131,276,284,270,245,248,310,340,355,412,429,404,329,257,238,211,162,125
189,67502,Honeywell Street,Northern Boulevard,Skillman Avenue,NB,10/09/2014,74,64,53,49,115,173,268,428,381,383,396,349,400,428,450,474,519,493,375,264,199,160,124,108
63,80377,CROTONA AVENUE,EAST 189 STREET,EAST 187 STREET,NB,11/06/2015,90,58,45,31,32,65,126,320,437,349,283,290,301,294,444,501,403,426,314,335,236,247,180,203
141,140632,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,SB,10/15/2015,1340,787,629,520,882,1907,3635,5645,5216,3687,3622,3312,3139,3903,4421,4252,3881,4195,4557,4084,3567,2891,2397,1898
142,9003959,Burke Avenue,Yates Avenue,Dead End,WB,11/04/2019,54,43,24,22,17,36,88,174,211,173,151,157,151,191,210,222,282,249,224,199,119,88,76,67
309,112431,Richmond Rd,Clove Rd,Dead End,SB,09/24/2019,131,78,43,31,34,27,68,157,413,385,301,289,284,250,400,482,646,629,679,399,512,323,264,168
274,256338,COOPER AVENUE,WYCKOFF AVENUE,IRVING AVENUE,EB,10/07/2015,84,45,36,51,70,126,276,399,392,267,282,337,364,397,543,520,553,576,603,504,437,265,213,161
286,157405,Main Street,82 Drive,Hoover Avenue,SB,10/13/2017,305,163,130,145,188,392,739,1415,1268,926,788,741,865,882,932,1116,1082,1185,1080,874,843,720,655,573
365,28775,New York Avenue,Farragut Road,Glenwood Road,SB,04/08/2018,70,60,33,40,29,18,23,47,79,92,120,171,163,164,219,233,188,182,147,150,142,117,98,65
352,81637,CORONA AVENUE,94 STREET,JUNCTION BOULEVARD,EB,10/03/2015,198,143,142,122,130,135,184,255,316,356,474,471,467,544,557,502,449,431,538,499,468,499,335,266
113,97525,35 AVENUE,203 STREET,204 STREET,EB,10/06/2016,50,19,9,11,29,56,152,383,429,326,299,324,313,329,417,499,454,411,430,313,275,184,125,62
352,100794,Winchester Boulevard,88 Avenue,88 Avenue,SB,10/04/2014,39,25,18,18,11,14,36,56,93,108,132,146,151,180,162,168,183,167,158,164,119,94,84,85
308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/14/2014,829,854,633,603,783,402,224,202,230,320,412,540,671,832,935,947,1059,1020,994,1077,981,1001,821,663
254,29479,Putnam Avenue,Claver Place,Franklin Avenue,EB,10/31/2014,32,22,12,10,13,17,37,50,129,167,133,80,73,53,119,110,116,98,96,81,74,62,52,41
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/14/2014,193,146,151,116,93,101,87,181,156,188,289,265,271,269,340,295,269,253,276,278,217,170,156,125
2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/15/2014,118,99,67,50,50,88,199,361,489,500,470,509,522,496,479,561,619,437,635,483,344,226,216,173
339,72026,JEROME AVENUE SR,GOBLE PLACE,EAST MOUNT EDEN AVENUE,SB,09/19/2015,92,54,54,28,46,29,29,50,31,62,91,88,85,98,66,88,40,70,86,56,71,120,176,81
265,26570,McDonald Avenue,Culver Line,Culver Line,SB,10/07/2019,41,13,11,12,27,40,97,191,246,242,241,242,275,275,281,257,316,356,309,223,173,112,123,93
340,29025,Union Street,7 Avenue,8 Avenue,WB,10/07/2019,30,20,19,19,33,61,136,189,161,136,159,130,114,104,102,118,69,74,110,124,91,90,79,70
255,98008,NORTHERN BOULEVARD,OCEANIA STREET,CORPORAL KENNEDY STREET,WB,11/11/2015,137,74,57,66,73,211,546,747,888,967,1043,1011,1056,1136,1105,1105,1089,1175,1092,953,675,568,475,209
