UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX
9125058,4104642,03/28/2019,8:00,8767ba2d-3de4-4f4e-90dd-56e866944958,Occupant,Unspecified,18584441,44,Not Ejected,Does Not Apply,Does Not Apply,Driver,None,,,Does Not Apply,Driver,,,M
7430334,3873058,03/31/2018,10:20,8a51dc17-89a7-493f-a66d-7423fdfc3ca4,Occupant,Unspecified,17749760,50,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7588126,3891416,04/25/2018,6:50,e0f10cd1-3ba6-4c29-a322-2c65aacd651b,Pedestrian,Injured,,32,,Conscious,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Getting On/Off Vehicle Other Than School Bus,Complaint of Pain,Pedestrian,Unspecified,Unspecified,M
7393079,3860434,03/10/2018,3:34,57e6f35f-9b85-47e9-93b0-0cec87a398e8,Occupant,Unspecified,17731643,34,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
6333921,3508374,08/26/2016,9:06,1758971,Occupant,Unspecified,17222862,50,,,,,,,,,Registrant,,,M
7114038,3714476,07/09/2017,19:05,c8333917-c6e4-45dc-b285-e2d2e51652ab,Occupant,Unspecified,17595735,30,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
9454937,3991627,09/28/2018,10:17,eaf03d42-3bf5-4362-ac4e-1dc48bf72388,Occupant,Unspecified,18746430,35,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
6704762,3583460,12/18/2016,22:50,3104957,Occupant,Unspecified,17399459,0,,,,,,,,,Registrant,,,M
9253709,3997051,10/09/2018,22:50,fff0488b-5eab-4f39-a0b1-71402a1078d0,Occupant,Unspecified,18647717,23,,,,,,,,,Registrant,,,M
7878617,3795512,11/22/2017,9:03,7538799e-68f5-4510-9136-68ed90d7a75d,Occupant,Unspecified,17969090,0,,,,,,,,,Registrant,,,M
10133439,4199088,09/01/2019,16:41,e9fbcba3-c5ef-4bc0-ab80-f30e3f4ce3d2,Occupant,Unspecified,19083237,38,,,,,,,,,Registrant,,,M
9321506,3980394,09/13/2018,0:57,9ab882a4-d21d-4ab3-bbf0-da10627ac957,Occupant,Unspecified,18681018,21,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
6191469,3543565,10/20/2016,0:04,2386492,Occupant,Unspecified,17156250,48,,,,,,,,,Registrant,,,M
6579311,3548773,10/26/2016,16:19,2478037,Occupant,Unspecified,17339330,46,,,,,,,,,Registrant,,,F
9289934,3929634,06/24/2018,9:00,1d0cd8bf-236f-4e1c-91be-11db3a78adcf,Occupant,Unspecified,18665487,0,,,,,,,,,Registrant,,,U
7618925,3811115,12/16/2017,21:25,ba9e2c33-2b8d-4f11-aea8-6966a44f332d,Occupant,Unspecified,17842463,20,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M
7372841,3859997,03/10/2018,5:55,c0197f37-da34-4199-ab16-62de0a978274,Occupant,Unspecified,17721704,57,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
1583365,1013937,08/25/2014,21:45,1,Pedestrian,Injured,,26,,,,,,,,,,,,
7784429,3767764,10/11/2017,12:20,340bac69-3cdf-4e83-adec-3edd9e575b11,Occupant,Unspecified,17922992,47,Not Ejected,Does Not Apply,Does Not Apply,Driver,None,,,Does Not Apply,Driver,,,F
7097832,3691210,06/14/2017,14:00,0d287aca-fe4a-4486-9726-997752aa2eef,Occupant,Unspecified,17588029,21,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7301729,3823108,01/05/2018,23:20,31782313-f118-4c77-aba6-d792b1ccfb52,Occupant,Unspecified,17686686,28,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
6893516,3696314,06/21/2017,20:35,7e5798fa-eb48-4f3b-a22f-89b221315c91,Occupant,Unspecified,17490237,31,,,,,,,,,Registrant,,,M
9670934,4030881,11/20/2018,9:40,166281a3-0599-411d-af0c-71785202c5fa,Occupant,Unspecified,18853267,48,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
8990399,4056341,01/17/2019,10:27,9279e87a-3924-497e-9b8c-0fbd1fb1a7f3,Occupant,Unspecified,18517875,34,,,,,,,,,Registrant,,,F
6578300,3538410,10/11/2016,17:00,2290808,Occupant,Unspecified,17338867,28,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7553342,3886154,04/22/2018,16:30,bab80b79-62ee-4299-ab68-dc755da9b15b,Occupant,Unspecified,17810246,10,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Does Not Apply,Passenger,,,F
8962653,4068056,01/15/2019,1:12,99a0f2b8-ff93-47b6-81c6-f82571408c69,Occupant,Unspecified,18504049,,,,,,,,,,Registrant,,,
8933503,4113357,04/12/2019,9:30,27370af2-1e7a-4ce1-a0a0-08c66a454216,Occupant,Unspecified,18489523,52,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
1412000,999322,07/27/2014,15:24,1,Bicyclist,Injured,9674126,0,,,,,,,,,,,,
7029168,3683864,06/02/2017,19:15,ced9d86d-ca27-4170-8440-25794a7ec430,Occupant,Injured,17555319,22,Not Ejected,Conscious,Entire Body,"Middle rear seat, or passenger lying across a seat",Unknown,,,Complaint of Pain,Passenger,,,M
9141476,3918541,06/09/2018,9:00,00e03d81-5144-4117-bed4-f7ccf5aac98f,Occupant,Unspecified,18592563,35,,,,,,,,,Registrant,,,F
9950003,4159657,06/27/2019,5:00,e597e447-ba47-48f2-a973-c63224c45b43,Occupant,Unspecified,18991360,24,,,,,,,,,Registrant,,,M
7815632,3771085,10/15/2017,12:30,a3016a8f-2b1e-49b1-a28b-3099d95423fe,Occupant,Unspecified,17938271,32,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7670618,3752522,09/15/2017,19:00,e35be8d4-a9df-401a-bb03-7c27deb8d7f8,Occupant,Unspecified,17867728,61,,,,,,,,,Registrant,,,M
6385540,3477490,07/05/2016,16:50,1181340,Bicyclist,Injured,17247296,26,Not Ejected,Conscious,Knee-Lower Leg Foot,Unknown,Helmet Only (In-Line Skater/Bicyclist),,,Unknown,Driver,,,M
6359994,3478348,07/03/2016,9:00,1136885,Occupant,Unspecified,17235138,39,,,,,,,,,Registrant,,,F
10205787,4220112,10/08/2019,20:06,a9ebabff-05f7-42cd-a4db-fce7dfffc74f,Occupant,Unspecified,19119555,29,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7310586,3826295,01/10/2018,17:40,25b7a418-e250-4f0a-b8aa-a2e0b0421a5f,Occupant,Unspecified,17690991,22,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
11326328,4324949,06/30/2020,22:45,fd0913c7-6a65-4b28-8921-26cde75b8440,Occupant,Unspecified,,,,,,,,,,,Witness,,,
6059033,3606725,01/28/2017,16:45,ffa79ec8-d767-4fde-b912-67f77b928fa4,Occupant,Unspecified,17092475,41,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
6137923,3603899,01/24/2017,17:30,2e00b02b-7098-44f0-ad11-2089630fb221,Occupant,Unspecified,17130658,46,,,,,,,,,Registrant,,,M
9186800,4038818,12/05/2018,9:00,a911f07d-9847-4f60-a11f-7d119705baa4,Occupant,Unspecified,18614983,0,,,,,,,,,Registrant,,,M
9179774,3976441,09/07/2018,22:35,897c0cab-7413-44f2-9e32-80a1f9b9663f,Occupant,Unspecified,18611466,23,,,,,,,,,Registrant,,,M
7380548,3851740,02/24/2018,1:10,3030c8d3-5115-4db2-9b06-9053c2f29e08,Occupant,Unspecified,17725479,35,,,,,,,,,Registrant,,,F
10170653,4211488,09/23/2019,15:49,5cb7eaf2-3358-42af-832a-77432add60be,Occupant,Unspecified,19102030,59,,,,,,,,,Registrant,,,M
10137337,4203901,09/09/2019,4:00,8a8cb5a6-facf-4e06-92f8-f7ea5e3755b1,Occupant,Unspecified,19085180,37,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2104958,263520,12/23/2013,18:22,1,Pedestrian,Injured,,42,,,,,,,,,,,,
6344439,3518680,08/28/2016,15:05,1912972,Occupant,Unspecified,17227803,51,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9397850,3919793,06/12/2018,8:06,a1822c99-3642-4fa8-b6da-7ebc99e703c0,Occupant,Unspecified,18718454,,,,,,,,,,Registrant,,,
11478976,4364956,11/06/2020,7:40,c0c34b4f-8622-4075-9abe-ee9b61df6661,Occupant,Unspecified,19787856,50,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9182757,3920725,06/14/2018,8:30,9a4d5358-0d71-4529-bd2d-547ac14260f0,Occupant,Unspecified,18612958,58,,,,,,,,,Registrant,,,M
6068348,3606573,01/27/2017,21:55,a8144b10-38d5-4687-89d5-5694ada5092b,Occupant,Unspecified,17096995,67,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
8950290,4063424,01/07/2019,15:01,5b355cec-bc12-4007-ae0d-75e026071caf,Occupant,Unspecified,18497873,51,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7102619,3702705,07/01/2017,23:00,54310268-4092-4b37-b193-d08c3de2aae9,Occupant,Unspecified,17590310,38,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
6283190,3518401,09/10/2016,13:40,1902792,Occupant,Unspecified,17198999,49,,,,,,,,,Registrant,,,F
10249732,4229880,10/26/2019,16:53,9c01d333-d35f-4cd5-b459-0abe1af9ecfe,Occupant,Unspecified,19141449,34,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
7612675,3904707,05/19/2018,21:10,b8e122ac-7ea6-48d9-a419-6aaf7bdcacc9,Occupant,Unspecified,17839414,,,,,,,,,,Registrant,,,
6770824,3637031,03/21/2017,4:47,7d08400f-db74-41f1-8bd5-b0e64dab41c5,Occupant,Injured,17431341,38,Not Ejected,Conscious,Back,Driver,Lap Belt & Harness,,,None Visible,Driver,,,M
7153708,3723300,07/31/2017,17:41,111ab49a-5331-4f30-b8d8-c0ac8da8c0e3,Occupant,Unspecified,17614820,33,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M
6386857,3588878,12/23/2016,13:20,3160423,Occupant,Unspecified,17247883,34,,,,,,,,,Registrant,,,M
9433132,3968589,08/25/2018,3:25,d9ab6377-1860-4d64-93f2-317efa9d869a,Occupant,Unspecified,18735764,33,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
9889506,4146303,06/03/2019,19:50,0357f50c-9571-4b22-a838-805247bae806,Occupant,Unspecified,18961406,34,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7714030,3752052,09/17/2017,20:17,8099c6d0-cbb7-4a39-8d83-1b7e0a5354b7,Occupant,Unspecified,17888998,35,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
10139286,4204324,09/10/2019,12:30,34ca3163-b63c-4604-8f06-1919059851f9,Occupant,Unspecified,,,,,,,,,,,Witness,,,
9596835,3994352,10/05/2018,11:20,f2b8e507-a5e1-4386-bf06-dd72fbadd9ae,Occupant,Unspecified,18816660,0,,,,,,,,,Registrant,,,M
5770518,3424515,03/29/2016,0:01,493037,Occupant,Unspecified,16955638,42,Not Ejected,Conscious,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9555814,3980270,09/13/2018,13:46,4d8f233b-a2b1-47aa-a1d7-e074bd5bee1a,Occupant,Unspecified,18796257,0,,,,,,,,,Registrant,,,
9940519,4157733,06/23/2019,15:00,4b623f3c-9f35-4296-bf89-300759e5e32c,Occupant,Unspecified,18986579,37,,,,,,,,,Registrant,,,M
7537939,3878789,04/11/2018,15:02,af953747-c3a3-43eb-a635-bc945b9f48da,Occupant,Unspecified,17802682,39,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2280409,3309442,10/05/2015,8:50,1,Bicyclist,Injured,14891252,46,,,,,,,,,,,,
2305617,3401229,03/06/2016,23:17,1,Pedestrian,Injured,,33,,,,,,,,,,,,
6160544,3623502,02/27/2017,11:30,aa59c261-82d5-41ab-9bb4-466d0f6f6b3d,Occupant,Unspecified,17141711,0,,,,,,,,,Registrant,,,
5952062,3421018,04/27/2016,8:16,497628,Occupant,Unspecified,17041980,,,,,,,,,,Registrant,,,
9066644,4099401,03/18/2019,13:00,9422c5c0-9684-452d-8dd0-b3a63cca14ff,Occupant,Unspecified,18555536,24,,,,,,,,,Registrant,,,M
6675108,3567187,11/25/2016,17:20,2823009,Occupant,Unspecified,17385300,56,,,,,,,,,Registrant,,,M
10020644,4176957,07/24/2019,3:30,d3c375fa-bc34-4420-9324-f2f4167809e1,Occupant,Unspecified,19026516,35,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
9204046,3884698,04/13/2018,19:10,fb381648-cc98-4141-a335-2c7f1623e127,Pedestrian,Injured,,30,,Conscious,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Fracture - Distorted - Dislocation,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,M
5798580,3425679,04/01/2016,20:50,255063,Occupant,Unspecified,16969418,26,Not Ejected,Conscious,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7581007,3756299,09/24/2017,4:15,ccba1003-f8df-41e9-a212-ad27b9934c55,Occupant,Unspecified,17823818,31,,,,,,,,,Registrant,,,M
7668017,3781228,11/01/2017,4:22,b1f326b6-525f-419f-8fb0-bfc39eeadbd4,Occupant,Unspecified,17866453,25,,,,,,,,,Registrant,,,F
1468262,84596,12/20/2013,16:00,1,Pedestrian,Injured,,65,,,,,,,,,,,,
5818414,3423446,04/14/2016,14:00,367840,Occupant,Unspecified,,,,,,,,,,,Registrant,,,
